Disease,Year,PathogenType,PathogenFamily,VectorType,Driver,Continent
SLEV genotype IV,2015,virus,Flaviviridae,mosquito,Unspecified,South America
"SLEV genotype V, VII",2007,virus,Flaviviridae,mosquito,Climate & weather,South America
SLEV genotype VIII,2007,virus,Flaviviridae,mosquito,Climate & weather,South America
Southern tick associated Rash Illness (STARI),1995,unknown,unknown,tick,Land use changes,North America
St. Louis encephalitis virus (SLEV) genotypes I and II,1933,virus,Flaviviridae,mosquito,Climate & weather,North America
Tahyna virus,1960,virus,Bunyaviridae,mosquito,Unspecified,Europe
Trypanosoma cruzi,1968,protozoa,Trypanosomatidae,Triatomine bug,Land use changes,Africa
Wesselsbron virus,1989,virus,Flaviviridae,mosquito,International travel & commerce,Africa
West Nile Virus,1999,virus,Flaviviridae,mosquito,International travel & commerce,North America
Wuchereria bancrofti,1965,helminths,Onchocercidae,mosquito,Land use changes,Africa
Yellow fever virus,1940,virus,Flaviviridae,mosquito,Breakdown of public health measures,Africa
Yersinia pestis,1970,bacteria,Enterobacteriaceae,flea,Land use changes,North America
Yersinia pestis multiple drug-res,1995,bacteria,Enterobacteriaceae,flea,Antimicrobial agent use,Africa
Zika virus,1971,virus,Flaviviridae,mosquito,Climate & weather,Asia
Zika virus-Americas clade,2015,virus,Flaviviridae,mosquito,International travel & commerce,South America
Zika virus-Asia clade,2007,virus,Flaviviridae,mosquito,International travel & commerce,Asia
